Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
43368000,00000206,false,Rx,0,2,86,00,00,00,00,00,00,00,
43468000,000006F1,false,Rx,0,8,60,05,30,20,06,12,11,00,
43568000,000006F1,false,Rx,0,8,60,05,30,21,06,12,3D,00,
43668000,000006F1,false,Rx,0,8,60,05,30,22,06,07,4E,00,
43768000,000006F1,false,Rx,0,8,60,05,30,23,06,07,12,00,
44118000,00000206,false,Rx,0,2,0A,00,00,00,00,00,00,00,
44368000,000006F1,false,Rx,0,8,60,05,30,21,06,00,00,00,
44468000,000006F1,false,Rx,0,8,60,05,30,20,06,00,00,00,
44568000,000006F1,false,Rx,0,8,60,05,30,23,06,00,00,00,
44668000,000006F1,false,Rx,0,8,60,05,30,22,06,00,00,00,
45215000,00000206,false,Rx,0,2,05,00,00,00,00,00,00,00,
45268000,000006F1,false,Rx,0,8,60,03,30,20,00,00,00,00,
45368000,000006F1,false,Rx,0,8,60,03,30,21,00,00,00,00,
45468000,000006F1,false,Rx,0,8,60,03,30,22,00,00,00,00,
45568000,000006F1,false,Rx,0,8,60,03,30,23,00,00,00,00,
46068000,000006F1,false,Rx,0,8,60,03,30,21,00,00,00,00,
46168000,000006F1,false,Rx,0,8,60,03,30,20,00,00,00,00,
46268000,000006F1,false,Rx,0,8,60,03,30,23,00,00,00,00,
46368000,000006F1,false,Rx,0,8,60,03,30,22,00,00,00,00,
